Company Name,Competitors,Founded,Headquarters,Rating,Revenue,Sector,Size,Type of ownership,Website,Company Description,wikisite,uri_name
accela incorprated,,,,,,,,,,,,accela_incorprated
acceleron pharma,,2003.0,"Cambridge, MA",4.4,,Biotech & Pharmaceuticals,201 to 500 employees,Company - Public,http://www.acceleronpharma.com/,,http://www.wikidata.org/entity/Q16824238,acceleron_pharma
accuride international,,1966.0,"Santa Fe Springs, CA",3.6,$100 to $500 million (USD),Manufacturing,1001 to 5000 employees,Company - Private,,,http://www.wikidata.org/entity/Q4672917,accuride_international
achieve internet,,1998.0,"San Diego, CA",4.0,$5 to $10 million (USD),Information Technology,1 to 50 employees,Company - Private,,,,achieve_internet
act consulting,,,"Owatonna, MN",2.8,,Information Technology,1 to 50 employees,Company - Private,,,,act_consulting
acuity systems llc,,,,,,,,,,,,acuity_systems_llc
"acuity, inc.",,2006.0,"US, Reston, Virginia",,,,20 to 49 employees,,http://www.myacuity.com/,"Meet Acuity: We are a Management and Technology Consulting firm specialized in addressing the unique challenges of public sector organizations. We have served 9 of 15 federal cabinet-level agencies and hold particularly deep expertise with organizations whose missions center on serving and protecting our nation’s citizens, global reputation, and critical assets.
We pride ourselves on unmatched customer service and a history of transformative client results. Each service we offer and every methodology we deploy is carefully designed to help our clients improve overall performance and achieve mission success.
Our team of pragmatic and innovative consultants is highly trained and highly skilled.
At Acuity, we work smart, we work hard, and we cultivate lasting relationships that deliver real, meaningful, and measurable results.",,acuity_inc
acxiom,,1969.0,"Conway, AR",3.9,$1 to $2 billion (USD),Information Technology,1001 to 5000 employees,Subsidiary or Business Segment,,,,acxiom
adams communication & eng tech inc,,1999.0,"US, Waldorf, Maryland",,,,100 to 499 employees,,http://www.adamscomm.com/,"We are an established technology company providing integrated products and solutions for Government Defense, Intelligence and other Federal Agencies. Our core competencies are aligned with the current and anticipated needs of our customers and address emerging global security challenges in key areas, such as C4ISR, Cybersecurity, Health IT, Intelligence, Enterprise Network Operations and unmanned systems, which are critical to the defense of our nation and its allies.",,adams_communication_eng
adient,,2016.0,"Burscheid, Germany",3.5,,Manufacturing,10000+ employees,Company - Public,,,http://www.wikidata.org/entity/Q26832896,adient
adobe,,1856.0,"Madrid, Spain",3.1,$10+ billion (USD),Finance,10000+ employees,Company - Private,,,http://www.wikidata.org/entity/Q11463,adobe
adobe,"Apple, Microsoft",1982.0,"San Jose, CA",4.0,$5 to $10 billion (USD),Information Technology,10000+ employees,Company - Public,,,http://www.wikidata.org/entity/Q11463,adobe
adp technology services inc,,,,,,,,,,,,adp_technology_services
"adp technology services, inc.",,,,,,,,,,,,adp_technology_services
adpi llc,,,,,,,50 to 99 employees,,http://www.adpillc.com/,"Incorporated in 2004, ADPI is a broad line business consulting organization, offering a number of business solutions. Our offerings include Project Management, Application Development, Custom Support Services, Application Systems Integration Solutions, with our product, CICERO, at the core of those solutions offerings. We have a secure email product, Ensuredmail, that provides a government certified, (FIPS), very secure yet easy to use interface for sensitive emails. We have a supplemental resource practice for staffing and permanent placement in Information technology, accounting and finance, Sales and medical staffing in clinical, diagnostic and medical management skills. We also offer our sales force development services that scientifically review the gaps of a sales organization and that develop action plans and monitoring mechanisms to keep you on track for sales effectiveness. Our Mission To be the best consulting company in the World. Rapid and convenient fulfillment of our products and services and providing our partners with substantial opportunities with our direct clients. Company Value Statement Everything we do has an impact on the professional image of our company. Take every opportunity to do something for a client that will be memorable. Be as efficient as you can. Every action every day counts. Help your fellow colleagues by performing your responsibilities fully and properly. Don’t wait for others to do what you could be doing for yourself. Evaluate your performance on a daily basis. Be prepared at all times to explain the benefit you bring to the client. Before you complain about another person, be it a colleague, or your client… spend a bit of time imagining you’re walking in their shoes. Just as nobody is above the law, nobody is above company policy. Do your job well and expect to be recognized. Do your job poorly and expect to be recognized. Expect to be treated with dignity and respect from management, your peers, subordinates, and clients.",,adpi_llc
advance solutions corporation,,,,,,,,,,,,advance_solutions
advanced bioscience laboratories,,1961.0,"Rockville, MD",2.7,$25 to $50 million (USD),Biotech & Pharmaceuticals,201 to 500 employees,Company - Private,http://www.ablinc.com/,,http://www.wikidata.org/entity/Q30253430,advanced_bioscience_labs
advanced food products,,,,,,,,,,,,advanced_food_products
advantage resourcing,,1969.0,"US, 220 Norwood Park South Norwood, Massachusetts",,,,500 to 999 employees,,https://www.advantageresourcing.com/,"At Advantage Resourcing, our primary objective is to perfectly align the best people with the appropriate jobs. These jobs may be temporary assignments or career positions. We place talented people in a wide variety of jobs working with our client companies in areas such as: engineering, IT, technical, manufacturing, skilled trades, distribution, call centers, clerical, accounting, finance and sales.
Our strength is being able to solve our client's workforce needs by matching people that have the right skills, knowledge and motivation to each opportunity. Advantage Resourcing can help you discover the personal and career success you desire.
Advantage Resourcing Americas, Inc. is an Equal Opportunity Employer offering employment without regard for race, color, religious creed, national origin, ancestry, gender, marital status, age, sexual orientation, sex, gender identity, disability, veteran status, or other legally protected categories. Advantage Resourcing is a VEVRAA Federal Contractor.",,advantage_resourcing
advantex,,,,,,,,,,,,advantex
adyen n.v.,,,,,,,,,,,,adyen_nv
affinity health plan,,1986.0,"US, Bronx, New York",,,,"10,000 employees or more",,http://www.affinityplan.org/,"For almost 30 years, Affinity Health Plan has been offering New York State-sponsored free or low-cost health coverage to New Yorkers who have Medicaid or no health insurance at all. Building on this unparalleled success, we added Medicare Advantage to seniors and dual eligible. Our goal is to help our Members stay healthy. Each of our Members can count on our promise of great customer service. We promise to work hard to make it easy to get the care you need.
Our managed care programs meet the need for coverage among people who are ""underserved,"" those who may find it hard to get health care for different reasons such as language barriers, social and economic status or other factors.",,affinity_health_plan
affinity solutions,"Commerce Signals, Cardlytics, Yodlee",1998.0,"New York, NY",2.9,,Business Services,51 to 200 employees,Company - Private,http://www.affinitysolutions.com/,,,affinity_solutions
agc biologics,,,"Bothell, WA",3.2,,Biotech & Pharmaceuticals,501 to 1000 employees,Company - Private,,,,agc_biologics
"agema technology, inc",,,,,,,,,,,,agema_technology_inc
agios pharmaceuticals,,2008.0,"Cambridge, MA",3.8,$50 to $100 million (USD),Biotech & Pharmaceuticals,501 to 1000 employees,Company - Public,http://www.agios.com/,,http://www.wikidata.org/entity/Q30286564,agios_pharmaceuticals
aic,,,,,,,,,,,,aic
aipso,,1972.0,"Johnston, RI",4.1,,Insurance,201 to 500 employees,Company - Private,,,,aipso
"airbnb, inc.",,,,,,,,,,,,airbnb_inc
ait global inc,,,,,,,,,,,,ait_global_inc
alans group,,,,,,,,,,,,alans_group
albin engineering services,,1993.0,"US, Santa Clara, California",,,,50 to 99 employees,,http://www.aesi.com/,"AESI has been a leader in providing distinctive engineering resources to Fortune 500 companies since 1993. We partner with our premier clients to build strong long-term relationships with hiring managers and gain an in-depth understanding of their organizational needs. AESI takes pride in partnering with our premier clients and connecting them with innovative individuals. We act as a virtual extension of a client’s team to source, screen, and manage qualified professionals for long and short term projects or programs.",,albin_engineering_services
alin,,,"Noida, India",,,,Unknown,Company - Private,,,,alin
all star directories,"EducationDynamics, QuinStreet, Archer Education",2001.0,"Seattle, WA",2.8,$10 to $25 million (USD),Business Services,1 to 50 employees,Company - Private,,,,all_star_directories
alliance source testing,,2000.0,"Decatur, AL",4.0,$25 to $50 million (USD),Business Services,51 to 200 employees,Unknown,http://www.stacktest.com/,,,alliance_source_testing
allyis,,,,,,,,,,,,allyis
alpha consulting corp.,,1994.0,"US, EastBrunswick",,,,100 to 499 employees,,http://www.alphaconsulting.com/,"Our goal, in addition to communicating the benefits of becoming associated with Alpha Consulting, is to provide news, opinions, and resources to assist Clients and Consultants. As with our careers, the content will continuously change and evolve over time.
Alpha Consulting Corporation is an IT (Information Technology) staffing business specialty with the ability to understand your specific project requirements and promptly supply appropriately matched consultants to fill both short and long-term client needs.",,alpha_consulting_corp
altec,,,"Torino, Italy",3.6,,Aerospace & Defense,51 to 200 employees,Company - Private,,,http://www.wikidata.org/entity/Q30255008,altec
altran,,1986.0,"US, Burlington, Massachusetts",,,,"10,000 employees or more",,http://www.altran-na.com,"Today’s complex interconnected world demands companies to conceptualize and deliver cutting-edge products and solutions to market faster than ever before. Altran, a global product development partner, collaborates with companies to address the business and technical challenges inherent in developing and supporting complex connected systems.
For over three decades, leading companies and emerging startups in some of the most highly regulated and rapidly evolving industries have relied on Altran to inspire innovation, accelerate time to market, improve predictability, and maximize return on product investment. Altran provides a full complement of technology consulting, software and product development expertise, and engineering services to our client partners in the Aerospace, Automotive, Energy, Industry and Electronics, and Medical and Life Sciences industries.
In North America, Altran is based in Burlington, Massachusetts, with additional offices in Atlanta, Chicago, Detroit, New Jersey, Silicon Valley and Southern California. For more information, visit altran-na.com. ",,altran
amazon,"Google, Microsoft, Walmart",1994.0,"Seattle, WA",3.9,$10+ billion (USD),Information Technology,10000+ employees,Company - Public,http://www.amazon.jobs/,,http://www.wikidata.org/entity/Q3884,amazon
american axle & manufacturing,,1994.0,"Detroit, MI",3.3,$5 to $10 billion (USD),Manufacturing,10000+ employees,Company - Public,http://www.aam.com/,,,american_axle_manufacturing
american college of radiology,,1923.0,"Reston, VA",3.8,$100 to $500 million (USD),Non-Profit,201 to 500 employees,Nonprofit Organization,,,,american_college_of
american cybersystems,,1966.0,"US, 106 Minneapolis, Minnesota",,,,500 to 999 employees,,http://www.analysts.com,"Analysts is a premier provider of outcome-based Information Technology (IT) Consulting and Solutions to businesses and government agencies worldwide. IT Solutions from Analysts span across technology development, implementation, and integration – and IT is all we do. Our core competency in Application Solutions, Enterprise Information Management, Cloud Services, Infor/Lawson ERP, Secure Information Sharing, and QA/Testing is backed by domain expertise and service delivery options tailored to our clients’ needs. Founded in 1966, Analysts is part of the ACS Group.",,american_cybersystems
american family insurance,"State Farm, Farmers Insurance Group, Nationwide",1927.0,"Madison, WI",3.5,$5 to $10 billion (USD),Insurance,5001 to 10000 employees,Company - Private,http://www.amfam.com/about/careers,,,american_family_insurance
"american radio relay league, inc.",,,"Newington, CT",1.8,$10 to $25 million (USD),"Restaurants, Bars & Food Services",51 to 200 employees,Nonprofit Organization,,,,american_radio_relay
amerihealth caritas,"UnitedHealth Group, Molina Healthcare, Centene",1983.0,"Philadelphia, PA",3.0,$5 to $10 billion (USD),Insurance,5001 to 10000 employees,Company - Private,,,,amerihealth_caritas
amica mutual,,1907.0,"Lincoln, RI",3.1,$1 to $2 billion (USD),Insurance,1001 to 5000 employees,Company - Private,http://www.amica.com/,,,amica_mutual
amida technologies,,,,,,,,,,,,amida_technology
amrock,,1997.0,"Detroit, MI",3.6,$500 million to $1 billion (USD),Real Estate,1001 to 5000 employees,Company - Private,http://www.amrock.com/,,,amrock
amtec human capital,,1959.0,"US, Chino Hills, California",,,,50 to 99 employees,,http://amtec.us.com,"In 1959, Robert Underwood took over what was then a floundering, debt-ridden staffing company, with the mission of finding the right candidates for its customers. Renaming it Amtec Engineering, Inc., Bob worked hard to pull the company out of the red and honor his predecessor’s debts. With God’s help and a lot of elbow grease, he succeeded, and the little staffing agency company grew under the leadership of Bob and a new partner, Peter Van Dyken.
At first located on Commonwealth Avenue in Fullerton, California, the company served mainly technical companies like Beckman, General Dynamics, Honeywell, and Rockwell. Without the invention of computers or fax machines, candidates hand-delivered or mailed in their time cards and resumes, which were coded and painstakingly filed so they could be retrieved for the right direct hire or contract job. Each week, many contractors came in to pick up their checks, and they were always greeted by name.",,amtec_human_capital
amyris,,2003.0,"Emeryville, CA",3.5,$100 to $500 million (USD),Biotech & Pharmaceuticals,201 to 500 employees,Company - Public,,,http://www.wikidata.org/entity/Q4749580,amyris
analytic recruiting,,1980.0,"New York, NY",4.1,$1 to $5 million (USD),Business Services,1 to 50 employees,Company - Private,,,,analytic_recruiting
analytical mechanics associates,,1962.0,"US, Hampton, Virginia",,,,100 to 499 employees,,http://www.ama-inc.com,"Since 1962, AMA has worked with government and commercial organizations solving tough engineering, math, and business problems. AMA combines the best of engineering and mathematics capabilities with the latest in information technology and visualization to build innovative solutions. The knowledge, innovation and dedication of the AMA team creates solutions for today’s problems and provides a catalyst for tomorrow’s discoveries. AMA has provided world class technical services and products to a multitude of industries including: Aerospace, Defense, Automotive, Financial Services, Healthcare, and Packaging. Our client base includes leading government institutions and Fortune 100 companies. We are especially proud of our work supporting NASA’s missions: past, present, and future. Our work has been featured on CNN, MSNBC, WIRED, and the Discovery Channel.",,analytical_mechanics_associates
analyticx llc,,,,,,,,,,,,analyticx_llc
anjaneyap global inc.,,2009.0,"US, Milpitas, California",,,,500 to 999 employees,,,"Anjaneyap is a Global management and Technology services company. Our business transformation services create strategic advantage, improve business processes, leverage technology innovation and enhance organizational performance for our clients Worldwide. Our service offering include Full time and Project Management. Headquartered in Miplitas, CA, we work with leading Global 2000 firms in the Financial Services, Technology, Communications & Media, Manufacturing and Retail domains by engaging the customer in a ‘collaborative’ approach. One thing that was very clear to us before we started Anjaneyap is that, employees are our assets and if we take care of them we basically take of our Clients.",,anjaneyap_global_inc
anju software,,,,,,,,,,,,anju_software
answerrocket,,2013.0,"Atlanta, GA",4.4,,Information Technology,51 to 200 employees,Company - Private,http://www.answerrocket.com/,,,answerrocket
"aperio global, llc",,,,,,,,,,,,aperio_global_llc
apex systems,,1995.0,"US, Glen Allen, Virginia",,,,"2,500 to 4,999 employees",,https://www.apexsystems.com,"Apex Systems, a segment of ASGN Inc. (NYSE: ASGN), is a technology services business that delivers emerging technology solutions to bring our clients digital visions to life. Apex has presence in over 70 markets across US, Canada and Mexico. Our consultants work with all types of companies throughout all industries, including more than 300 of the Fortune 500 companies. Are you an innovator with high standards who wants to help shape the world? We want you! Learn more about how to find your purpose with Apex, visit www.apexsystems.com.
Apex Systems is an equal opportunity employer. We do not discriminate or allow discrimination on the basis of race, color, religion, creed, sex (including pregnancy, childbirth, breastfeeding, or related medical conditions), age, sexual orientation, gender identity, national origin, ancestry, citizenship, genetic information, registered domestic partner status, marital status, disability, status as a crime victim, protected veteran status, political affiliation, union membership, or any other characteristic protected by law. Apex will consider qualified applicants with criminal histories in a manner consistent with the requirements of applicable law. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation in using our website for a search or application, please contact our Employee Services Department at employeeservices@apexsystems.com or 844-463-6178.",,apex_systems
apolis,,,"US, El Segundo, California",,,,500 to 999 employees,,https://www.apolisrises.com/,"Since 1996, RJT has provided successful SAP, Oracle, and IT consulting solutions and staffing services to clients around the world. The new Apolis brings you the same personalized service fortified with a greater array of IT solutions, global expertise, and cost-management strategies.
We are a global IT consultancy that seamlessly integrates experts and leading-edge solutions into your organization so you can focus on what really matters.",,apolis
applicantz inc,,,,,,,,,,,,applicantz_inc
applied materials,,1967.0,"US, SantaClara, California",,,,"10,000 employees or more",,http://www.appliedmaterials.com/,"Applied Materials (Nasdaq: AMAT) is the global leader in nanomanufacturing technology solutions for the electronics industry with a broad portfolio of innovative equipment, services and software products. At Applied Materials, we apply nano-manfacturing technology to improve the way people live. To support customers around the world, Applied Materials employs approximately 14,000 people in over 65 locations throughout China; Europe; India; Israel; Malaysia and Singapore; Japan; Korea; Taiwan; and the United States.",,applied_materials
applied memetics llc,,,"Leesburg, VA",4.3,,Business Services,51 to 200 employees,Company - Public,,,,applied_memetics_llc
applied research laboratories,,,"Austin, TX",3.7,,Education,501 to 1000 employees,College / University,http://www.arlut.utexas.edu/,,,applied_research_labs
apptness media group,,2015.0,"Boca Raton, FL",5.0,,Information Technology,1 to 50 employees,Company - Private,http://www.apptness.io/,,,apptness_media_group
apsi wifi services,,2013.0,"Sandy, UT",4.0,,Information Technology,1 to 50 employees,Company - Private,http://www.apsiwifi.com/,,,apsi_wifi_services
aptonet inc,,2004.0,"Atlanta, GA",5.0,,Information Technology,201 to 500 employees,Company - Private,http://www.aptonet.com/,,,aptonet_inc
argo group us,,1948.0,"Hamilton, Bermuda",3.4,$1 to $2 billion (USD),Insurance,1001 to 5000 employees,Company - Public,http://www.argolimited.com/,,,argo_group_us
arkhya tech inc,,,,,,,,,,,,arkhya_tech_inc
arm,"Intel Corporation, Imagination Technologies, NXP Semiconductors",1990.0,"Cambridge, United Kingdom",4.2,$1 to $2 billion (USD),Information Technology,5001 to 10000 employees,Subsidiary or Business Segment,,,,arm
armis,,2016.0,"Palo Alto, CA",4.4,,Information Technology,201 to 500 employees,Company - Private,,,,armis
arrow electronics,"Avnet, Ingram Micro, Tech Data",1935.0,"Centennial, CO",3.0,$10+ billion (USD),Business Services,10000+ employees,Company - Public,http://www.fiveyearsout.com/,,,arrow_electronics
arsenal biosciences,,2019.0,"South San Francisco, CA",5.0,,Biotech & Pharmaceuticals,1 to 50 employees,Company - Private,http://www.arsenalbio.com/,,,arsenal_biosciences
artcraft entertainment,,,"Austin, TX",5.0,Less than $1 million (USD),Information Technology,1 to 50 employees,Company - Private,,,,artcraft_entertainment
ascent services group,,,"US, Denver, Colorado",,,,50 to 99 employees,,https://ascentsg.com/,"At Ascent, we hire bright individuals that are not only dedicated to our brand, our clients, and the talent community we serve; but they are also dedicated to giving back to those in need within their own communities, building long-lasting connections with their co-workers, and displaying overall human kindness. We are always looking for a way to raise the bar. We describe our work ethic as; productive, ambitious, focused, engaged, and passionate. We lead with value and give to get. The more we invest in the quality of our human network, the more everyone in our human network benefits, creating an exponential virtuous cycle of opportunity. Our value-led approach, commitment to innovation and investment in long-term relationships set us apart from others in the staffing world. While other staffing companies may focus on their bottom line, Ascent’s commitment is to people. Our promise is to listen, connect and deliver exceptional value. We know how to meet the demands of our clients’ contingent workforce needs while cultivating an atmosphere of commitment between our professionals and our clients. Our role is to be an extension of their workplace brand and experience, and thereby offer an exceptional experience. At Ascent, we focus on engagement with our professionals in ways that other companies don’t. The strategies and programs that we have developed translate into fewer back-outs, high rates of project completions and ultimately better project outcomes for our clients. Our delivery organization provides value to our clients by reducing project delivery risk, increasing efficiency and controlling costs.",,ascent_services_group
"aspex, inc.",,,,,,,,,,,,aspex_inc
asrc federal holding company,,2003.0,"Beltsville, MD",3.4,$500 million to $1 billion (USD),Aerospace & Defense,5001 to 10000 employees,Company - Private,http://www.asrcfederal.com/,,,asrc_federal_holding
associated banc-corp,"Wells Fargo, BMO Harris Bank, U.S. Bank",1870.0,"Green Bay, WI",3.8,$1 to $2 billion (USD),Finance,1001 to 5000 employees,Company - Public,http://www.associatedbank.com/,,http://www.wikidata.org/entity/Q4809155,associated_banc_corp
assurance careers,,2016.0,"Bellevue, WA",4.0,,Insurance,51 to 200 employees,Company - Private,,,,assurance_careers
assurant,"Asurion, SquareTrade, National General Insurance",1978.0,"New York, NY",3.4,$5 to $10 billion (USD),Insurance,10000+ employees,Company - Public,http://www.assurant.com/,,http://www.wikidata.org/entity/Q4810399,assurant
"assured information security, inc. (ais)",,2001.0,"Rome, NY",4.6,$100 to $500 million (USD),Information Technology,201 to 500 employees,Company - Private,http://www.ainfosec.com/,,,assured_information_security
astellas,,,,,,,,,,,,astellas
astrazeneca,"Roche, GlaxoSmithKline, Novartis",1913.0,"Cambridge, United Kingdom",3.9,$10+ billion (USD),Biotech & Pharmaceuticals,10000+ employees,Company - Public,http://www.astrazeneca.com/,,,astrazeneca
asurion,"Apple, SquareTrade",1994.0,"Nashville, TN",3.5,,Information Technology,10000+ employees,Company - Private,,,http://www.wikidata.org/entity/Q4811938,asurion
"at work staffing, inc.",,1973.0,,,,,,,,,,at_work_staffing
atco communications services,,,"Snohomish, WA",4.0,,,51 to 200 employees,Company - Private,,,,atco_communications_services
atlassian,GitHub,2002.0,"Sydney, Australia",4.2,,Information Technology,1001 to 5000 employees,Company - Public,,,,atlassian
"atricure, inc.","Medtronic, St. Jude Medical, Boston Scientific",2000.0,"Mason, OH",4.0,$100 to $500 million (USD),Manufacturing,501 to 1000 employees,Company - Public,,,http://www.wikidata.org/entity/Q30256881,atricure_inc
"atrilogy solutions group, inc",,,,,,,,,,,,atrilogy_solutions_group
attainment company,,,"Verona, WI",5.0,$1 to $5 million (USD),Media,1 to 50 employees,Company - Private,,,,attainment_company
atterro,,1982.0,"US, Minneapolis, Minnesota",,,,100 to 499 employees,,http://atterro.com,"Founded in 1982, the Atterro Human Capital Group offers Specialty Staffing and Contingent Workforce Solutions.

At Atterro, we are dedicated to delivering the highest quality service focused on improving the productivity and profitability of our customers. We are equally committed to being a great place for talented people to work.",,atterro
audible,,1995.0,"Newark, NJ",3.6,,Media,1001 to 5000 employees,Subsidiary or Business Segment,,,,audible
aurora north software,,2004.0,"Burlington, VT",4.0,,Information Technology,1 to 50 employees,Company - Private,,,,aurora_north_software
"australian government department of industry, science, energy & resources",,,,,,,,,,,,australian_government_department
auto/mate dealership systems,,,"Clifton Park, NY",3.9,$25 to $50 million (USD),Information Technology,201 to 500 employees,Company - Private,http://www.automate.com/,,,auto_mate_dealership
autodesk,,1982.0,"San Rafael, CA",4.0,$2 to $5 billion (USD),Information Technology,5001 to 10000 employees,Company - Public,http://www.autodesk.com/,,http://www.wikidata.org/entity/Q628051,autodesk
avanade,"Slalom, Cognizant Technology Solutions, Deloitte",2000.0,"Seattle, WA",3.9,$2 to $5 billion (USD),Information Technology,10000+ employees,Company - Private,,,,avanade
avant,"OneMain Financial, World Finance",2012.0,"Chicago, IL",3.5,,Finance,501 to 1000 employees,Company - Private,http://www.avant.com/,,,avant
avid technology professionals,,,"Columbia, MD",3.6,$5 to $10 million (USD),Information Technology,1 to 50 employees,Company - Private,,,,avid_technology_professionals
avomeen,,2010.0,"Ann Arbor, MI",3.8,$10 to $25 million (USD),Business Services,51 to 200 employees,Company - Private,,,,avomeen
aws - ec2 - amazon,,1935.0,"Gonzales, LA",,$100 to $500 million (USD),Telecommunications,201 to 500 employees,Company - Private,,,,aws__ec2
axelaar,,,,,,,,,,,,axelaar
axion healthcare solutions,"The Execu|Search Group, Prime Staffing",1980.0,"New York, NY",3.6,$10 to $25 million (USD),Health Care,1 to 50 employees,Company - Private,,,,axion_healthcare_solutions
axon,,1991.0,"Scottsdale, AZ",3.7,$100 to $500 million (USD),Information Technology,1001 to 5000 employees,Company - Public,,,http://www.wikidata.org/entity/Q30254995,axon
axonics modulation technologies,Medtronic,2014.0,"Irvine, CA",4.8,$1 to $5 million (USD),Biotech & Pharmaceuticals,201 to 500 employees,Company - Public,http://www.axonics.com/,,,axonics_modulation_technology
bahwan cybertek,,,,,,,,,,,,bahwan_cybertek
baidu usa,,2000.0,"Sunnyvale, CA",4.1,$50 to $100 million (USD),Information Technology,51 to 200 employees,Company - Public,,,,baidu_usa
bank ozk,"Regions Financial, Bank of America, Arvest Bank",1903.0,"Little Rock, AR",4.0,$500 million to $1 billion (USD),Finance,1001 to 5000 employees,Company - Public,http://www.ozk.com/,,,bank_ozk
basware inc.,,,,,,,,,,,,basware_inc
bay area wedding affairs,,,,,,,,,,,,bay_area_wedding
"bayforce technology solutions, inc.",,,,,,,50 to 99 employees,,http://bayforce.com,"At Bayforce, its all about the aptitude and attitude. Bayforce is a full-service IT consulting firm focused on SAP, IT, Salesforce and Workday solutions. Since 1996 we’ve been dedicated to helping organizations find the very best U.S.-based talent and maximize their enterprise technology investments. """"Be thirsty for change, think outside the box, speak up so we can hear you."" - Bayforce Values",,bayforce_technology_solutions
bayside solutions,,2001.0,"Pleasanton, CA",3.1,$1 to $5 million (USD),Business Services,1 to 50 employees,Company - Private,,,,bayside_solutions
bcforward,,1998.0,,,,,"5,000 to 9,999 employees",,http://bcforward.com/,"Headquartered in Indianapolis, Indiana, BCforward has an international reach as it provides business application and software solutions, personnel staffing and human resource services, and business process outsourcing programs. With more than a decade of proven successes for a variety of clients, our breadth of capabilities, established knowledge base and diverse team of experts combine to create something unique in the marketplace. We have the agility to work locally to solve problems on-time and on-budget, along with the strength to help clients innovate in pursuit of strategic goals on a global scale.
BCforward is looking for talented, well-qualified individuals to become a part of our team. We invite you to find out if your skills are a good match for the diverse local, national and international clients we serve.",,bcforward
"bcl technologies, inc",,,,,,,,,,,,bcl_technology_inc
beacon hill staffing group,,2000.0,"US, Boston, Massachusetts",,,,500 to 999 employees,,https://www.beaconhillstaffing.com/,"Beacon Hill Technologies, a division of Beacon Hill, partners with customers across the country offering the very best technology contract staffing solutions, consulting services, and direct-hire and executive search services.

Our experienced and dedicated account executives and recruiting professionals are sector experts, operating within specialized technology, industry, and geographic/market-based practice groups, working collaboratively to deliver customers the very best resources and service in the market today",,beacon_hill_staffing
bectran,,2010.0,"Itasca, IL",2.7,$10 to $25 million (USD),Information Technology,51 to 200 employees,Company - Private,,,,bectran
beebe healthcare,,1935.0,"Lewes, DE",3.6,$100 to $500 million (USD),Health Care,1001 to 5000 employees,Nonprofit Organization,,,,beebe_healthcare
berg health,,2006.0,"Framingham, MA",2.8,$1 to $5 million (USD),Biotech & Pharmaceuticals,51 to 200 employees,Company - Private,http://www.berghealth.com/,,,berg_health
