URI,URILabel,comURI
http://www.wikidata.org/entity/Q30294875,3D Technology Laboratories (United States),http://www.3dtl.com/
http://www.wikidata.org/entity/Q39073359,3dcart,https://www.3dcart.com
http://www.wikidata.org/entity/Q229698,3dfx Interactive,
http://www.wikidata.org/entity/Q30263073,3DT Holdings (United States),http://3dtholdings.com/
http://www.wikidata.org/entity/Q30285978,3F (United States),
http://www.wikidata.org/entity/Q609766,3G Capital,http://www.3g-capital.com
http://www.wikidata.org/entity/Q16242427,3rd Ward Brooklyn,
http://www.wikidata.org/entity/Q4637025,3tera,
http://www.wikidata.org/entity/Q30297625,3TEX (United States),http://www.3tex.com/
http://www.wikidata.org/entity/Q2979800,40/40 Club,http://www.the4040club.com
http://www.wikidata.org/entity/Q4637521,411 PAIN,
http://www.wikidata.org/entity/Q3599097,42 Entertainment,http://42entertainment.com
http://www.wikidata.org/entity/Q4638032,44 Blue Productions,http://www.44blue.com
http://www.wikidata.org/entity/Q55602817,451 Research,http://www.451research.com/
http://www.wikidata.org/entity/Q50038277,480 Biomedical (United States),http://480biomedical.com/
http://www.wikidata.org/entity/Q30263074,490 BioTech (United States),http://490biotech.com/
http://www.wikidata.org/entity/Q30285617,4Cs Breeding Technologies (United States),
http://www.wikidata.org/entity/Q30289733,4D Technology (United States),
http://www.wikidata.org/entity/Q64141851,4Power (United States),http://www.4powerllc.com/
http://www.wikidata.org/entity/Q16973848,5-7-9,
http://www.wikidata.org/entity/Q30297627,5-D Systems (United States),http://www.5dsystems.com/
http://www.wikidata.org/entity/Q21015593,500 Startups,http://500.co
http://www.wikidata.org/entity/Q4640068,51 Minds Entertainment,
http://www.wikidata.org/entity/Q30267533,525 Solutions (United States),http://www.525solutions.com/
http://www.wikidata.org/entity/Q4641742,6126,http://www.6126byLindsayLohan.com
http://www.wikidata.org/entity/Q4641759,615 Music,http://www.615music.com
http://www.wikidata.org/entity/Q4642871,7-Eleven Speak Out Wireless,
http://www.wikidata.org/entity/Q30297129,8 Rivers Capital (United States),http://www.8riverscapital.com/
http://www.wikidata.org/entity/Q4644779,84 Lumber,https://www.84lumber.com/
http://www.wikidata.org/entity/Q7111716,9 Story USA,
http://www.wikidata.org/entity/Q4646307,99 Ranch Market,https://99ranch.com/
http://www.wikidata.org/entity/Q23012340,A & B High Performance Firearms,
http://www.wikidata.org/entity/Q16959753,A & R Recording,
http://www.wikidata.org/entity/Q300323,A Band Apart,
http://www.wikidata.org/entity/Q55231781,A J Tuck Co.,http://ajtuckco.com/
http://www.wikidata.org/entity/Q300444,"A K Peters, Ltd.",
http://www.wikidata.org/entity/Q79051737,A Pea in the Pod,https://www.apeainthepod.com/
http://www.wikidata.org/entity/Q4658862,A Place for Mom,http://www.aplaceformom.com/
http://www.wikidata.org/entity/Q59618852,A Very Good Production,
http://www.wikidata.org/entity/Q4646889,A-Boy Plumbing & Electrical Supply,http://www.aboysupply.com
http://www.wikidata.org/entity/Q4646977,A-dec,http://www.a-dec.com
http://www.wikidata.org/entity/Q4646931,A-P-A Transport Corp.,
http://www.wikidata.org/entity/Q4646934,A-Plus,https://www.sunoco.com/aplus-food-and-beverages/
http://www.wikidata.org/entity/Q88465311,A-S Medication Solutions LLC,https://www.a-smeds.com/
http://www.wikidata.org/entity/Q4646944,A-Square,
http://www.wikidata.org/entity/Q30263083,A-Team (United States),http://ateamcorp.com/
http://www.wikidata.org/entity/Q4646953,A-Treat Bottling Company,http://www.a-treat.com/
http://www.wikidata.org/entity/Q4647612,A. C. Gilbert Company,
http://www.wikidata.org/entity/Q278648,A. E. Staley,
http://www.wikidata.org/entity/Q4647740,A. Eicoff & Company,http://www.eicoff.com/
http://www.wikidata.org/entity/Q4647775,A. G. Becker & Co.,
http://www.wikidata.org/entity/Q2483225,A. H. Belo,http://www.ahbelo.com/
http://www.wikidata.org/entity/Q278779,A. J. Foyt Enterprises,http://www.foytracing.com/
http://www.wikidata.org/entity/Q5318658,A. L. Dyke Automobile Supply Company,
http://www.wikidata.org/entity/Q4648219,A. O. Smith,https://www.aosmith.com/
http://www.wikidata.org/entity/Q279170,A. Schulman,http://www.aschulman.com/
http://www.wikidata.org/entity/Q67409523,A. Sulka & Co.,
http://www.wikidata.org/entity/Q4647029,A.B. Dick Company,http://www.presstek.com/
http://www.wikidata.org/entity/Q54868187,A.B. Lyman (Firm),
http://www.wikidata.org/entity/Q51485907,A.F. Holden Company,
http://www.wikidata.org/entity/Q73958846,A.H. Hoffman Inc.,
http://www.wikidata.org/entity/Q64213230,a.i. solutions,https://ai-solutions.com/
http://www.wikidata.org/entity/Q4647191,A.J. Canfield Company,
http://www.wikidata.org/entity/Q16205250,A.L. Gebhardt & Co.,
http://www.wikidata.org/entity/Q42377193,"A.M. Kroop and Sons, Inc.",
http://www.wikidata.org/entity/Q83723,A&E Networks,http://www.aenetworks.com
http://www.wikidata.org/entity/Q30282468,A&G Pharmaceutical (United States),http://agpharma.com/
http://www.wikidata.org/entity/Q61934228,A&P Technology (United States),http://www.braider.com/
http://www.wikidata.org/entity/Q4649617,A7,
http://www.wikidata.org/entity/Q4649744,AAA Cooper,
http://www.wikidata.org/entity/Q30282471,AAC (United States),
http://www.wikidata.org/entity/Q30265327,Aadi (United States),http://aadibio.com/
http://www.wikidata.org/entity/Q286133,AAI Corporation,http://www.textronsystems.com/
http://www.wikidata.org/entity/Q4649932,AAR Corp,http://www.aarcorp.com/
http://www.wikidata.org/entity/Q4662236,"Aaron Marcus and Associates, Inc.",http://www.amanda.com
http://www.wikidata.org/entity/Q10397787,"Aaron's, Inc.",https://www.aarons.com/
http://www.wikidata.org/entity/Q30253532,Aastrom Biosciences (United States),http://vcel.com/
http://www.wikidata.org/entity/Q61934262,AAVogen (United States),http://aavogen.com/
http://www.wikidata.org/entity/Q59535178,AB Neo (Czechia),https://ab-neo.com/
http://www.wikidata.org/entity/Q4663181,Abacus Federal Savings Bank,
http://www.wikidata.org/entity/Q30298248,Abakan (United States),http://abakaninc.com/
http://www.wikidata.org/entity/Q3603130,Abaris Books,http://abarisbooks.com
http://www.wikidata.org/entity/Q30297635,Abaris Training (United States),http://www.abaris.com/
http://www.wikidata.org/entity/Q30338853,ABB (United States),http://new.abb.com/us
http://www.wikidata.org/entity/Q4663956,Abbeville Southern Railway,
http://www.wikidata.org/entity/Q45135103,Abbott Diabetes Care,
http://www.wikidata.org/entity/Q306764,Abbott Laboratories,http://www.abbott.com/
http://www.wikidata.org/entity/Q26865,Abbott-Detroit,
http://www.wikidata.org/entity/Q14662364,AbbVie,http://www.abbvie.com
http://www.wikidata.org/entity/Q45134652,AbbVie Biotherapeutics,
http://www.wikidata.org/entity/Q4650107,ABC,
http://www.wikidata.org/entity/Q2818998,ABC Codes,
http://www.wikidata.org/entity/Q2819002,ABC Entertainment,
http://www.wikidata.org/entity/Q3600483,ABC Family Worldwide Inc.,
http://www.wikidata.org/entity/Q4650251,ABC Stores,https://www.abcstores.com/
http://www.wikidata.org/entity/Q4650247,ABC Supply,http://www.abcsupply.com/
http://www.wikidata.org/entity/Q29123382,Abcam (United States),http://www.abcam.com/
http://www.wikidata.org/entity/Q43895597,Abcombi Biosciences (United States),http://www.abcombibio.com/
http://www.wikidata.org/entity/Q2089859,ABCorp (American Banknote Corporation),http://www.abncompany.com/
http://www.wikidata.org/entity/Q4650291,ABD Insurance & Financial,
http://www.wikidata.org/entity/Q30297637,Abeam Technologies (United States),http://www.abeamtech.com/
http://www.wikidata.org/entity/Q30294889,Abel Manufacturing Company (United States),http://abelusa.com/
http://www.wikidata.org/entity/Q29123281,Abengoa Bioenergy (United States),http://www.abengoabioenergy.com/web/es/index.html
http://www.wikidata.org/entity/Q30282475,Abeome Corporation (United States),
http://www.wikidata.org/entity/Q319344,Abercrombie & Fitch,http://www.abercrombie.com
http://www.wikidata.org/entity/Q51069349,Abes of Maine,http://www.abesofmaine.com/
http://www.wikidata.org/entity/Q4667305,Abgent,http://www.abgent.com
http://www.wikidata.org/entity/Q30264385,Abiant (United States),http://www.abiant-imaging.com/news.html
http://www.wikidata.org/entity/Q4667842,Abingdon Press,
http://www.wikidata.org/entity/Q4667884,AbioMed,http://www.abiomed.com/
http://www.wikidata.org/entity/Q30282477,AbleLink Technologies (United States),
http://www.wikidata.org/entity/Q30282456,AbleNet (United States),
http://www.wikidata.org/entity/Q4033172,Ablex Publishing,
http://www.wikidata.org/entity/Q4650338,ABM Industries,http://www.abm.com
http://www.wikidata.org/entity/Q4668566,Abound Solar,
http://www.wikidata.org/entity/Q4668581,About Face Media,http://aboutfacemedia.com
http://www.wikidata.org/entity/Q30254863,Abqmr (United States),
http://www.wikidata.org/entity/Q3603767,Abraham & Straus,
http://www.wikidata.org/entity/Q4669033,Abraham Lincoln Institute,http://www.lincoln-institute.org/
http://www.wikidata.org/entity/Q4669411,Abrams Books,http://www.abramsbooks.com
http://www.wikidata.org/entity/Q30253530,Abratech Corporation,http://www.abratech.com/
http://www.wikidata.org/entity/Q30285621,Abraxis (United States),
http://www.wikidata.org/entity/Q4669505,Abraxis BioScience,
http://www.wikidata.org/entity/Q4669507,Abrazo Health Care,http://www.abrazohealth.com
http://www.wikidata.org/entity/Q30294890,Abreos Biosciences (United States),http://abreos.com/
http://www.wikidata.org/entity/Q4650406,ABS Capital Partners,http://www.abscapital.com/
http://www.wikidata.org/entity/Q50362734,"ABS Group of Companies, Inc",http://www.abs-group.com
http://www.wikidata.org/entity/Q61934274,ABS Materials (United States),http://www.absmaterials.com/
http://www.wikidata.org/entity/Q4650395,"ABSMaterials, Inc.",
http://www.wikidata.org/entity/Q2822030,Absolute Entertainment,
http://www.wikidata.org/entity/Q61934282,Absorption Systems (United States),https://www.absorption.com/
http://www.wikidata.org/entity/Q30281397,Abt Associates (United States),http://www.abtassociates.com/
http://www.wikidata.org/entity/Q61934288,ABT Molecular Imaging (United States),http://abt-mi.com/
http://www.wikidata.org/entity/Q30254874,AbTech (United States),http://www.abtech.com/
http://www.wikidata.org/entity/Q41568567,Abzena (United States),http://www.abzena.com/
http://www.wikidata.org/entity/Q30254877,Abzyme Therapeutics (United States),
http://www.wikidata.org/entity/Q3600597,AC Comics,http://www.accomics.com
http://www.wikidata.org/entity/Q30285624,AC Diagnostics (United States),
http://www.wikidata.org/entity/Q4650939,AC Entertainment,http://www.acentertainment.com/
http://www.wikidata.org/entity/Q4650942,AC Golden Brewing Company,http://www.acgolden.com
http://www.wikidata.org/entity/Q4650947,AC Lens,http://www.aclens.com/
http://www.wikidata.org/entity/Q30253484,Academic Edge,https://academicedge.com/
http://www.wikidata.org/entity/Q30297206,Academic Software (United States),http://www.acsw.com/
http://www.wikidata.org/entity/Q4671343,Academy Bus,
http://www.wikidata.org/entity/Q4671494,Academy of Model Aeronautics,
http://www.wikidata.org/entity/Q4671380,Academy Sports + Outdoors,https://www.academy.com/
http://www.wikidata.org/entity/Q30297647,Acadia Cyber Solutions (United States),http://www.acadiacyber.com/
http://www.wikidata.org/entity/Q43895604,Acadia Harvest (United States),http://acadiaharvest.com/
http://www.wikidata.org/entity/Q4671580,Acadia Pharmaceuticals,http://www.acadia-pharm.com/
http://www.wikidata.org/entity/Q16974174,Acapulco Gold,http://www.acapulcogold.com
http://www.wikidata.org/entity/Q4650550,ACC Capital Holdings,
http://www.wikidata.org/entity/Q61934293,Accacia International (United States),http://www.accaciabio.com/
http://www.wikidata.org/entity/Q30295266,Accel Brands (United States),http://accelbrandsinc.com/
http://www.wikidata.org/entity/Q61934304,Accel Diagnostics (United States),http://www.acceldx.com/
http://www.wikidata.org/entity/Q2578125,Accel Partners,http://www.accel.com/
http://www.wikidata.org/entity/Q41568339,Accelerated Ag Technologies (United States),https://www.accagtech.com/
http://www.wikidata.org/entity/Q30286392,Accelerated Medical Diagnostics (United States),http://acceleratedmeddiagnostics.com/
http://www.wikidata.org/entity/Q4672264,AccelerEyes,http://www.accelereyes.com
http://www.wikidata.org/entity/Q16824238,Acceleron Pharma,http://www.acceleron.com/
http://www.wikidata.org/entity/Q30286394,Acceleron Pharma (United States),
http://www.wikidata.org/entity/Q30297651,Accelogic (United States),http://www.accelogic.com/
http://www.wikidata.org/entity/Q30269437,Accelovance (United States),http://www.accelovance.com/
http://www.wikidata.org/entity/Q4672316,AccentHealth,http://www.accenthealth.com/
http://www.wikidata.org/entity/Q29123313,Accenture (United States),https://www.accenture.com/us-en
http://www.wikidata.org/entity/Q338920,Access Industries,http://www.AccessIndustries.com
http://www.wikidata.org/entity/Q41568342,Access Sensor Technologies (United States),https://accsensors.com/
http://www.wikidata.org/entity/Q30254929,Accessible Designs (United States),
http://www.wikidata.org/entity/Q30265960,AccessTR,http://www.accesstr.com/Default.asp
http://www.wikidata.org/entity/Q30297655,Accipiter Systems (United States),http://www.accipitersystems.com/
http://www.wikidata.org/entity/Q30265335,Accium Biosciences (United States),http://www.acciumbio.com/
http://www.wikidata.org/entity/Q339228,Acclaim Entertainment,http://web.archive.org/*/http://www.acclaim.com
http://www.wikidata.org/entity/Q1131147,Acclaim Games,http://www.acclaim.com/
http://www.wikidata.org/entity/Q4672650,"Acclarent, Inc.",http://www.acclarent.com
http://www.wikidata.org/entity/Q30285627,Acclima (United States),
http://www.wikidata.org/entity/Q1165626,Accoona,http://www.accoonacorp.com
http://www.wikidata.org/entity/Q61934333,Accord Solutions (United States),http://accordsol.com/
http://www.wikidata.org/entity/Q4672715,Accordent Technologies,http://www.accordent.com/
http://www.wikidata.org/entity/Q30254938,AccSys Technology (United States),
http://www.wikidata.org/entity/Q30286400,AccuDava (United States),
http://www.wikidata.org/entity/Q61934338,Accudyne Systems (United States),http://www.accudyne.com/
http://www.wikidata.org/entity/Q61934344,Accumed Systems (United States),http://www.accumedsystemsinc.com/
http://www.wikidata.org/entity/Q30297661,Accurate Automation (United States),http://www.accurate-automation.com/content/Home
http://www.wikidata.org/entity/Q50036414,Accurate Clinical Management (United States),http://www.accurateclinicalmanagement.com
http://www.wikidata.org/entity/Q50036417,Accurate Clinical Research (United States),http://www.accurateclinicalresearch.com/
http://www.wikidata.org/entity/Q30290787,Accuray (United States),
http://www.wikidata.org/entity/Q4672917,Accuride International,http://www.accuride.com/
http://www.wikidata.org/entity/Q4672922,Accuro Healthcare Solutions,http://www.accurohealth.com/
http://www.wikidata.org/entity/Q4672935,Accusoft,http://www.accusoft.com/
http://www.wikidata.org/entity/Q30254943,AccuStrata (United States),http://www.accustrata.com/
http://www.wikidata.org/entity/Q4672893,AccuVein,http://www.accuvein.com
http://www.wikidata.org/entity/Q2822885,AccuWeather,http://www.accuweather.com/
http://www.wikidata.org/entity/Q4650569,ACD.net,http://www.acd.net
http://www.wikidata.org/entity/Q18018449,Ace,
http://www.wikidata.org/entity/Q4672981,Ace Hardware,https://www.acehardware.com/
http://www.wikidata.org/entity/Q4650632,ACE Rent a Car,
http://www.wikidata.org/entity/Q30286401,ACEA Biosciences (United States),
http://www.wikidata.org/entity/Q4650965,ACell,
http://www.wikidata.org/entity/Q30297668,Acellent Technologies (United States),http://www.acellent.com/
http://www.wikidata.org/entity/Q30254960,Acelot (United States),
http://www.wikidata.org/entity/Q30270758,AcelRx Pharmaceuticals (United States),http://www.acelrx.com/
http://www.wikidata.org/entity/Q30297588,Acentech (United States),http://www.acentech.com/
http://www.wikidata.org/entity/Q30291088,Acentia (United States),
http://www.wikidata.org/entity/Q50362991,Acer (United States),https://www.acer.com/ac/en/US/content/home#_ga=1.212817556.1696349516.1488953609
http://www.wikidata.org/entity/Q30286402,Acetylon Pharmaceuticals (United States),
http://www.wikidata.org/entity/Q61934507,ACF-Metals (United States),https://www.acf-metals.com
http://www.wikidata.org/entity/Q30281279,Achaogen (United States),
http://www.wikidata.org/entity/Q30265337,Achelios Therapeutics (United States),http://achelios.com/
http://www.wikidata.org/entity/Q30268779,Achillion Pharmaceuticals (United States),http://www.achillion.com/
http://www.wikidata.org/entity/Q14944944,Achronix,http://www.achronix.com/
http://www.wikidata.org/entity/Q30255121,ACI Plastics (United States),
http://www.wikidata.org/entity/Q30283396,Aciont (United States),
http://www.wikidata.org/entity/Q17151806,Ackerman McQueen,https://www.am.com/home
http://www.wikidata.org/entity/Q30254988,ACMA Social Marketing,http://www.acmasocialmarketing.com/
http://www.wikidata.org/entity/Q4674392,Acme Bread Company,
http://www.wikidata.org/entity/Q4674391,Acme Brick,http://www.brick.com/
http://www.wikidata.org/entity/Q4650705,ACME Comics & Collectibles,http://www.acmefirst.net/index.html
http://www.wikidata.org/entity/Q4650706,ACME Communications,
http://www.wikidata.org/entity/Q30254990,Acme Express,http://azure.acmex.com/index.asp?
http://www.wikidata.org/entity/Q341973,Acme Filmworks,http://www.acmefilmworks.com/
http://www.wikidata.org/entity/Q341975,Acme Markets,http://www.acmemarkets.com/
http://www.wikidata.org/entity/Q4674396,Acme Mills,
http://www.wikidata.org/entity/Q288603,ACNielsen,http://www.nielsen.com/tw/zh.html
http://www.wikidata.org/entity/Q4674531,Acorda Therapeutics,http://www.acorda.com/
http://www.wikidata.org/entity/Q30271510,Acorn,http://acorntoyshop.com/
http://www.wikidata.org/entity/Q61934365,Acorn Science & Innovation (United States),https://acornsi.com/
http://www.wikidata.org/entity/Q4674563,Acorn Stores,http://www.acornstores.com/
http://www.wikidata.org/entity/Q30297591,Acoustic Ideas (United States),http://www.acousticideas.com/
http://www.wikidata.org/entity/Q30254998,Acoustic MedSystems,http://acousticmed.com/
http://www.wikidata.org/entity/Q4674662,"Acoustic Sounds, Inc.",
http://www.wikidata.org/entity/Q30254999,Acpharis,http://acpharis.com/
http://www.wikidata.org/entity/Q4674790,Acquity Group,http://www.acquitygroup.com/
http://www.wikidata.org/entity/Q43895802,ACR Electronics (United States),https://www.acrartex.com/
http://www.wikidata.org/entity/Q30297593,Acree Technologies (United States),http://www.acreetech.com/
http://www.wikidata.org/entity/Q30289904,Acrion Technologies (United States),
http://www.wikidata.org/entity/Q4675310,Acrocat Software,http://www.Acrocat.com/
http://www.wikidata.org/entity/Q342813,Acronis,https://www.acronis.com/
http://www.wikidata.org/entity/Q4676587,Act-On,http://act-on.com/
http://www.wikidata.org/entity/Q30297594,ACTA (United States),http://www.actainc.com/
http://www.wikidata.org/entity/Q30287429,Actavis (United States),
http://www.wikidata.org/entity/Q30283992,Actelion (United States),
http://www.wikidata.org/entity/Q15378672,Actian,http://www.actian.com
http://www.wikidata.org/entity/Q30270765,Actinium Pharmaceuticals (United States),http://www.actiniumpharma.com/
http://www.wikidata.org/entity/Q30255017,Actinix (United States),
http://www.wikidata.org/entity/Q30265341,Actinobac Biomed (United States),http://actinobac.com/
http://www.wikidata.org/entity/Q4677110,Action International Pictures,
http://www.wikidata.org/entity/Q28402649,Action Sport Networks,
http://www.wikidata.org/entity/Q4677165,Action Target,http://www.actiontarget.com/
http://www.wikidata.org/entity/Q4677451,Activant,http://www.activant.com/
http://www.wikidata.org/entity/Q43895609,Activated Research Company (United States),https://www.activatedresearch.com/
http://www.wikidata.org/entity/Q30283055,ActivBiotics (United States),
http://www.wikidata.org/entity/Q30283410,Active Motif (United States),https://www.activemotif.com/
http://www.wikidata.org/entity/Q18204835,"ACTIVE Network, LLC",http://www.activenetwork.com
http://www.wikidata.org/entity/Q344142,Active Power,http://www.activepower.com/
http://www.wikidata.org/entity/Q30283413,Active Signal Technologies (United States),http://www.activesignaltech.com/
http://www.wikidata.org/entity/Q30255034,Active Spectrum (United States),
http://www.wikidata.org/entity/Q30286425,ActiveSite Pharmaceuticals (United States),
http://www.wikidata.org/entity/Q50039406,ActivMed Practices & Research (United States),http://activmedresearch.com/
http://www.wikidata.org/entity/Q61934207,Actoprobe (United States),http://actoprobe.com/
http://www.wikidata.org/entity/Q4677815,Actual Entertainment,http://www.actualentertainment.com
http://www.wikidata.org/entity/Q4677840,Actuant,http://www.actuant.com/
http://www.wikidata.org/entity/Q497419,Actuate Corporation,http://www.actuate.com/
http://www.wikidata.org/entity/Q30283418,Actuated Medical (United States),http://www.actuatedmedical.com/
http://www.wikidata.org/entity/Q30268796,Acucela (United States),http://www.acucela.com/index.html
http://www.wikidata.org/entity/Q30271528,Acuitus (United States),http://www.acuitus.com/web/
http://www.wikidata.org/entity/Q30297613,Acuity Technologies (United States),http://www.acuitytx.com/
http://www.wikidata.org/entity/Q30265351,AcuityBio (United States),http://www.acuitybio.com/
http://www.wikidata.org/entity/Q4677880,Acumed,http://www.acumed.net/
http://www.wikidata.org/entity/Q30283419,Acumen (United States),http://www.acumenllc.com/
http://www.wikidata.org/entity/Q2186354,Acumen Fund,http://www.acumen.org/
http://www.wikidata.org/entity/Q30286428,Acumen Pharmaceuticals (United States),
http://www.wikidata.org/entity/Q30259080,Acumentrics (United States),http://www.acumentrics.com/
http://www.wikidata.org/entity/Q344839,Acushnet Company,http://www.acushnet.com/
http://www.wikidata.org/entity/Q4677899,Acuson,http://usa.healthcare.siemens.com/ultrasound
http://www.wikidata.org/entity/Q4678107,Ad Astra Rocket Company,http://www.adastrarocket.com
http://www.wikidata.org/entity/Q59536102,Ad-Tech (United States),https://adtechmedical.com
http://www.wikidata.org/entity/Q30253447,Ada Technologies (United States),http://www.adatech.com/
http://www.wikidata.org/entity/Q30259081,ADA-ES (United States),http://www.adaes.com/
http://www.wikidata.org/entity/Q4650977,ADAC Laboratories,
http://www.wikidata.org/entity/Q4678216,AdaCore,http://www.adacore.com
http://www.wikidata.org/entity/Q4678604,Adam & Eve,https://www.adameve.com
http://www.wikidata.org/entity/Q348607,Adam Aircraft Industries,http://www.adamaircraft.com/
http://www.wikidata.org/entity/Q61934217,Adámas Nano (United States),https://adamasnano.com/
http://www.wikidata.org/entity/Q30268799,Adamas Pharmaceuticals (United States),http://www.adamaspharma.com/
http://www.wikidata.org/entity/Q30284075,Adamis Pharmaceuticals (United States),
http://www.wikidata.org/entity/Q4680304,Adams Cable,http://www.adamscable.com/
http://www.wikidata.org/entity/Q2160450,Adams-Toman,
http://www.wikidata.org/entity/Q16158438,AdamWorks,
http://www.wikidata.org/entity/Q352390,Adaptec,http://www.adaptec.com
http://www.wikidata.org/entity/Q4680692,Adapteva,http://www.adapteva.com/
http://www.wikidata.org/entity/Q30283420,Adaptive Biotechnologies (United States),http://www.adaptivebiotech.com/
http://www.wikidata.org/entity/Q30297633,Adaptive Dynamics (United States),http://adaptive-dynamics.com/
http://www.wikidata.org/entity/Q30260861,Adaptive Intelligent Systems (United States),http://aiswelding.com/
http://www.wikidata.org/entity/Q30297640,Adaptive Methods (United States),http://www.adaptivemethods.com/
http://www.wikidata.org/entity/Q4680708,Adaptive Planning,http://www.adaptiveinsights.com/
http://www.wikidata.org/entity/Q30255068,Adarza BioSystems (United States),
http://www.wikidata.org/entity/Q4680945,Adbot,
http://www.wikidata.org/entity/Q290159,ADC Telecommunications,http://www.adc.com/
http://www.wikidata.org/entity/Q4680955,Adcole,
http://www.wikidata.org/entity/Q16825398,Adcor Defense,http://www.adcordefense.com
http://www.wikidata.org/entity/Q4681014,Addamax,
http://www.wikidata.org/entity/Q16974220,Addepar,https://addepar.com/
http://www.wikidata.org/entity/Q4681187,Addington Racing,
http://www.wikidata.org/entity/Q352773,AddThis,http://www.addthis.com/
http://www.wikidata.org/entity/Q30253610,Adelphi Technology,http://www.adelphitech.com/index.html
http://www.wikidata.org/entity/Q4682079,Adelphia Communications Corporation,
http://www.wikidata.org/entity/Q16198483,Adena Springs,http://www.adenastallions.com
http://www.wikidata.org/entity/Q30253482,Adenosine Therapeutics,http://www.adenrx.com/index.html
http://www.wikidata.org/entity/Q356349,Adept Technology,http://www.adept.com
http://www.wikidata.org/entity/Q4682337,Adeptia,https://adeptia.com
