,Unnamed: 0,Job Title,Job Description,Job Id,Location,Company Name,Company Description,Headquarters,Size,Founded,Industry,Website
74,74,DATA SCIENTIST,"Location: Clarkson Valley, MO
Description: Our client is currently seeking a DATA SCIENTIST

Responsibilities:

• Build R-Shiny apps for lab scientists collaboratively working with them throughout the process to make sure the final is of quality and use while increasing the digital fluency of the lab scientists.
• Be heavily involved in global and regional projects that involve developing machine learning and/or artificial intelligence solutions for new chemistry discovery and development. This will involve attending and actively contributing to meetings with lab scientists and leaders, developing machine learning models and automation tools.
• Design lab assays and experiments. Analyze, visualize, and interpret data both from designed experiments as well as internal and external existing data stores.
• Developing Spotfire dashboards with lab scientists to enable them to visualize their data (ability to build API's for Spotfire would be ideal).
• (would be nice) Assist with data engineering, cloud architecting, and other IT-type responsibilities when IT resources are reduced.

Required Qualifications:
• Minimum of a bachelor’s degree with more than five years of experience or master’s degree with more than two years’ experience or Ph.D.;
• Educational preparation in at least one of the following areas: Machine Learning, Statistics, Biostatistics, Data Science, or other related quantitative discipline;
• Demonstrates intermediate proficiency in computational skills and level of experience building data models using R, Python or other statistical and/or mathematical programming packages;
• Demonstrates basic understanding of software development best practices (Version Control, Code Documentation & Review, Cloud Based Sequence Analysis, Database Management);
• Strong proficiency in predictive modeling—to include comprehension of theory, modeling/identification strategies and limitations and pitfalls;
• Intermediate proficiency in machine learning algorithms and concepts;
• Experience in successful delivery of valuable analysis through application of domain knowledge; evidence of ability to strong business acumen;
• Strong communication competencies to include presentations and delivery of complex quantitative analyses in a clear, concise and actionable manner to extended team and small groups of key stakeholders.
• Ability to collaborate and work effectively with other individuals of diverse backgrounds in diverse fields of science and technologies.

For more details, contact sshriyam@judge.com

Contact:sshriyam@judge.com
This job and many more are available through The Judge Group. Find us on the web at www.judge.com",217245323,"Clarkson Valley, MO",The Judge Group,"The Judge Group is a privately owned, leading professional services firm with nearly 50 years of experience in providing technology, talent, and learning solutions. Our services are successfully delivered through a network of more than 35 offices in the United States, Canada, and India. The Judge Group serves more than 47 Fortune 100 companies and is responsible for 7,000 professionals on assignment annually across a wide range of industries.","US, Wayne, Pennsylvania","10,000 employees or more",1970.0,Computer/IT Services,https://www.judge.com
75,75,AI Engineer - Data Scientist,"job summary:
Description:

AI Engineer team at Client is a tight-knit, startup oriented, fast-paced growing team working with various line of business. With a huge scope for recommendation engines, forecasting, routing /workforce optimizations, image and video analytics (Drones, Satellites, LiDAR), robotics, anomaly detections and much more, the opportunities are ever-growing.

As an AI Engineer - Data Scientist, your primary role will be to ingest data, re-train existing models, build new models along with other data scientists, and help operationalize the models.

Required Qualifications
•Bachelor's degree in computer science, Information Systems or related discipline;
•Or 6 years of prior equivalent work-related experience in lieu of a degree.
•Must have leadership skills to lead and deliver projects, be proactive, take ownership, interface with business, represent the team and spread the knowledge.

Required
•Strong knowledge of statistical data analysis and machine learning techniques (e.g. Bayesian, regression, classification, clustering, time series, deep learning).
•Hands on experience with time series (ARIMA, LTSM etc.)
•Experience Deep learning (Image analytics) using TensorFlow, PyTorch, Keras.
•Experience working in NLP (Documents/Topic Modelling/Contracts/Chatbots).
•Build feedback loop into Model Re-Training
•Should be able to work with the AIOPS to containerize models and provide endpoints.
•Experience working with spark ML, spark DL with Pyspark.
•Experienced/Knowledge in Big Data technologies (Hive, HBase, Sqoop, HBASE Phoenix etc.)
•Experienced in data ingestion from various data sources like SQL Server, Oracle etc.
•Knowledge of deploying models in platforms like PCF, AWS, KUBERNETES, AWS, AZURE
•Good knowledge in Git, GitHub, Bitbucket
Desired
•Experienced in ETL Tools.
•Experienced in building new data pipelines
•Experienced in building real-time data feed to provide analysis in an automated fashion.
•Knowledge in Continuous integration suites like Jenkins.
•Knowledge in Web servers (Flask, Gunicorn, NGINX etc)
•Working knowledge in operationalizing models in production using model repositories, API's and data pipelines.
 
location: Charlotte, North Carolina
job type: Contract
salary: $48.46 - 58.46 per hour
work hours: 9am to 5pm
education: Bachelors
 
responsibilities:
AI Engineer team at Client is a tight-knit, startup oriented, fast-paced growing team working with various line of business. With a huge scope for recommendation engines, forecasting, routing /workforce optimizations, image and video analytics (Drones, Satellites, LiDAR), robotics, anomaly detections and much more, the opportunities are ever-growing.

As an AI Engineer - Data Scientist, your primary role will be to ingest data, re-train existing models, build new models along with other data scientists, and help operationalize the models.

 
qualifications:
•Bachelor's degree in computer science, Information Systems or related discipline;
•Or 6 years of prior equivalent work-related experience in lieu of a degree.
•Must have leadership skills to lead and deliver projects, be proactive, take ownership, interface with business, represent the team and spread the knowledge.
 
skills:
•Strong knowledge of statistical data analysis and machine learning techniques (e.g. Bayesian, regression, classification, clustering, time series, deep learning).
•Hands on experience with time series (ARIMA, LTSM etc.)
•Experience Deep learning (Image analytics) using TensorFlow, PyTorch, Keras.
•Experience working in NLP (Documents/Topic Modelling/Contracts/Chatbots).
•Build feedback loop into Model Re-Training
•Should be able to work with the AIOPS to containerize models and provide endpoints.
•Experience working with spark ML, spark DL with Pyspark.
•Experienced/Knowledge in Big Data technologies (Hive, HBase, Sqoop, HBASE Phoenix etc.)
•Experienced in data ingestion from various data sources like SQL Server, Oracle etc.
•Knowledge of deploying models in platforms like PCF, AWS, KUBERNETES, AWS, AZURE
•Good knowledge in Git, GitHub, Bitbucket
Equal Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.",217131867,"Charlotte, NC 28206",Randstad,"Looking for your next great opportunity but not sure where to find it? When you let Randstad US handle your job search, you get the support of one of the world's largest staffing firms partnering with you every step of the way. Our recruiters have the resources to find a job that's right for you. We combine our passion for people with the power of today's latest technologies to find opportunities that fit your skills in environments where you can thrive. Whether you're looking for a temporary or permanent position, our focus is on partnering with you to realize your true potential. And it all starts with your next great role.",US,"10,000 employees or more",,Staffing/Employment Agencies,https://www.randstad.com/
76,76,Data Scientist / Quantitative Modeler,"Charlotte, North Carolina
Skills : Quantitative Analysis, Machine Learning, NLP, Deep Learning (Tensorflow)R, Python,SAS,SQL,QUANTITATIVE MODELING,DATA SCIENCE
Description :
Position: Data Scientist/Quantitative Modeler

Location: Charlotte

# of Openings:1

Shift/Core Hours: 9-5

Interview: 1 hour phone, 1.5 hour Webex second round

Start Date: ASAP

 
MUST HAVES


3 - 5+ years Data Scientist / Quantitative Modeling

Hands on experience in Statistical Modeling, Quantitative Analysis, Machine Learning, NLP, Deep Learning (Tensorflow)

Strong knowledge and high proficiency in R, Python, SAS & SQL.

Strong STEM background

Good communication 


 
PLUSSES


Previous banking / financial experience

Local to Charlotte, NC

Advanced degree of equivalent experience in a quantitative discipline",217105064,"Charlotte, NC",Collabera,"Since 1991, Collabera has been a leading provider of IT staffing solutions and services. We are known for providing the best staffing experience and taking great care of our clients and employees.

Our client-centric model provides focus, commitment and a dedicated team to help our clients achieve their business objectives. For consultants and employees, we offer an enriching experience that promotes career growth and lifelong learning.

The Collabera Way represents our fundamentals beliefs and is founded on the following building blocks:","US, 110 Allen Road Basking Ridge, New Jersey","10,000 employees or more",1991.0,Staffing/Employment Agencies,http://www.collabera.com
77,77,Principal Data Scientist,"Principal Data Scientist - Contract - Burbank, CA - $65.00-$69.00/hr

The end client is unable to sponsor or transfer visas for this position; all parties authorized to work in the US without sponsorship are encouraged to apply.

An Entertainment Company is seeking a Principal Data Scientist in Burbank, CA.

Role Description
* Deliver and manage data driven insights by effectively communicating the ""so what"" from the data to the business to leverage as a strategic business asset and driver of incremental revenue opportunities
* Develop and quantify KPIs to measure viewer satisfaction, relationships, loyalty, and advocacy
* Measure and quantify fan journeys and map against DATG experiences & touch points
* Conduct exploratory data mining and analysis to understand customer engagement and retention and develop tools supporting the deployment and usage to identify trends and insights in audience data to improve engagement
* Continuously drive toward reporting improvement and efficiency by simplifying and automating where possible, eliminating redundancy across the organization, refining metrics, and building new reports (developing framework and identifying data sources) as needed to support decision-making
* Propose and leverage new sources of data for acquisition, from both internal consumer touch points and external third party data partnerships
* Ability to develop effective relationships with business partners and peers- including marketing, ad sales, digital and programming teams - to understand core business issues and to communicate actionable, impactful insights
* Assure quality and accuracy of deliverables through thorough interaction with end users to understand and refine requirements and adherence to governance standards and practices

Skills & Requirements
* Degree in Statistics, Econometrics, Mathematics, Operations Research, Computer Science, or equivalent/related degree
* 6+ years of experience working in role focused on consumer analytics, measurement, quantitative research, or related field
* 6+ years experience with complex, large-scale relational databases, statistical programs and other tools (SQL, SAS, R, Python, etc.) with an aptitude to learn other technical applications quickly to compile and interpret quantitative data. Proven track record of extracting accurate conclusions and identifying trends from quantitative information.
* Ability to visualize and communicate complex quantitative analysis in a clear, precise, and actionable manner
* Proficient knowledge of reporting and visualization
* Passion for empirical research, experimentation, and answering hard questions with data
* Experience solving analytical problems using a combination of scientific approaches from the fields of mathematics, statistics, and operation research

Why Hays?

You will be working with a professional recruiter who has intimate knowledge of the Information Technology industry and market trends . Your Hays recruiter will lead you through a thorough screening process in order to understand your skills, experience, needs, and drivers. You will also get support on resume writing, interview tips, and career planning, so when there's a position you really want, you're fully prepared to get it.

Additionally, this position is a contract role where Hays offers you the opportunity to enroll in full medical, dental or vision benefits.

* Medical
* Dental
* Vision
* 401K
* Life Insurance ($20,000 benefit)

Nervous about an upcoming interview? Unsure how to write a new resume?

Visit the Hays Career Advice section to learn top tips to help you stand out from the crowd when job hunting.

Hays is an Equal Opportunity Employer.

Drug testing may be required; please contact a recruiter for more information.",216786816,"Burbank, CA",Hays Specialist Recruitment,"Hays is the expert at recruiting qualified, professional and skilled people worldwide. We operate across the private and public sectors, dealing in full-time positions, contract roles and temporary assignments. Hays employs over 9,000 staff operating from over 250 offices in 33 countries across 20 specialisms.

Last year our experts placed 67,000 candidates into permanent jobs and over 220,000 people into interim or contract assignments. We attract the best candidates, make the best match and provide the best industry expertise, delivered through our commitment to service excellence.
Our website www.hays.com","US, Tampa, Florida","5,000 to 9,999 employees",1968.0,Staffing/Employment Agencies,http://www.hays.com/
78,78,Data Scientist/Machine Learning Engineer,"Meet our professionals
 
 CGI: An employer of choice
 
 Position Description:
 
 The Data Scientist / Machine Learning Engineer role will have experience in Artificial Intelligence and Machine Learning (Neural Network, Deep Learning). Maintenance and upkeep of existing machine learning (ML) models as well as the possibility to create and implement new ML models. Solid grasp on how to set hyper parameters. Develop and apply algorithms. Analyze complex unstructured data sets to recommendations and implement solutions. Experience with validating models will be a plus. The incumbent will need to be very comfortable working in an Agile setting. 
 
 Your future duties and responsibilities:
 
 * Ability to quickly understand and assess data structures 
 * Know what type of algorithm to use and how to implement them
 * Experience with Amazon Web Services (S3)
 * Solid proficiency in Python
 * Solid proficiency in SQL
 * Machine learning tools/packages
 * Expertise and deep knowledge of typical data science techniques such as classification, regression and optimization
 * Ability to identify, troubleshoot and resolve production data integrity and performance issues
 * Proficient in writing technical specifications and documentation
 * A solid understanding of relational database architecture
 * Excellent communication skills (verbal and written)
 * Experience working in an Agile setting
 
 Required qualifications to be successful in this role:
 
 * Bachelor's degree in related field (mathematics, statistics, computer science, engineering or a related quantitative field) 
 * Minimum 3 years or experience as acting Data Scientist 
 * Excellent written and verbal communication skills, and meeting facilitation skills 
 * Excellent interpersonal and collaboration skills 
 * Ability to learn quickly and apply knowledge to solutions
 
 Skill Set Years of Experience Proficiency Level
 
 Machine Learning 3-5 Years Medium
 
 Python 2-4 Years Medium
 
 SQL 2-4 Years Medium
 
 AWS 2-4 Years Medium
 
 Skills:
 
 * Python
 * SQL
 
 What you can expect from us:
 
 Build your career with us.
 
 It is an extraordinary time to be in business. As digital transformation continues to accelerate, CGI is at the center of this change—supporting our clients' digital journeys and offering our professionals exciting career opportunities. 
 
 At CGI, our success comes from the talent and commitment of our professionals. As one team, we share the challenges and rewards that come from growing our company, which reinforces our culture of ownership. All of our professionals benefit from the value we collectively create.
 
 Be part of building one of the largest independent technology and business services firms in the world.
 
 Learn more about CGI at www.cgi.com.
 
 No unsolicited agency referrals please.
 
 CGI is an equal opportunity employer.
 
 Qualified applicants will receive consideration for employment without regard to their race, ethnicity, ancestry, color, sex, religion, creed, age, national origin, citizenship status, disability, medical condition, military and veteran status, marital status, sexual orientation or perceived sexual orientation, gender, gender identity, and gender expression, familial status, political affiliation, genetic information, or any other legally protected status or characteristics.
 
 CGI provides reasonable accommodations to qualified individuals with disabilities. If you need an accommodation to apply for a job in the U.S., please email the CGI U.S. Employment Compliance mailbox at US_Employment_Compliance@cgi.com. You will need to reference the requisition number of the position in which you are interested. Your message will be routed to the appropriate recruiter who will assist you. Please note, this email address is only to be used for those individuals who need an accommodation to apply for a job. Emails for any other reason or those that do not include a requisition number will not be returned.
 
 We make it easy to translate military experience and skills! Click here to be directed to our site that is dedicated to veterans and transitioning service members.
 
 All CGI offers of employment in the U.S. are contingent upon the ability to successfully complete a background investigation. Background investigation components can vary dependent upon specific assignment and/or level of US government security clearance held. 
 
 CGI will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with CGI's legal duty to furnish information.",c1a04652-73a4-4b16-8f81-f88d23ed5ba2,"Plymouth Meeting, PA 19462","CGI Group, Inc.",,,,,,
79,79,Data Science Engineer IV (E4),"Data Science Engineer
Data Science Engineer will be  responsible for expanding and optimizing APF data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams. The Data Engineer will support our software developers, database architects, and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects. They must be self-directed and comfortable supporting the data needs of multiple teams, systems and products. The right candidate will be excited by the prospect of optimizing or even re-designing our company’s data architecture to support our next generation of products and data initiatives. This position can be remote and located anywhere in the US or Asia.
Responsibilities
Create and maintain optimal data pipeline architecture
Assemble large, complex data sets that meet functional / non-functional business requirements.
Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and big data technologies
Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics.
Work with stakeholders including the Product management, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs.
Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.
Work with data and analytics experts to strive for greater functionality in our data systems.
Qualifications
Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.
Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.
Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.
Strong analytic skills related to working with unstructured datasets.
Build processes supporting data transformation, data structures, metadata, dependency and workload management.
A successful history of manipulating, processing and extracting value from large disconnected datasets.
Working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores.
Strong project management and organizational skills.
Experience supporting and working with cross-functional teams in a dynamic environment.
5+ years of experience in a Data Engineer role, who has attained a Graduate degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field.
They should also have experience using the following software/tools:
big data tools: Hadoop, Spark, Kafka, etc.
relational SQL and NoSQL databases, including Postgres and Cassandra.
data pipeline and workflow management tools: Azkaban, Luigi, Airflow, etc.
AWS cloud services: EC2, EMR, RDS, Redshift
stream-processing systems: Storm, Spark-Streaming, etc.
object-oriented/object function scripting languages: Python, Java, C++, Scala, etc.
#LI
Qualifications
Education:
Bachelor's Degree
Skills
Certifications:
Languages:
Years of Experience:
4 - 7 Years
Work Experience:
Additional Information
Travel:
Yes, 25% of the Time
Relocation Eligible:
No
Applied Materials is committed to diversity in its workforce including Equal Employment Opportunity for Minorities, Females, Protected Veterans and Individuals with Disabilities.",216445377,"Salt Lake City, UT 84116",Applied Materials,"Applied Materials (Nasdaq: AMAT) is the global leader in nanomanufacturing technology solutions for the electronics industry with a broad portfolio of innovative equipment, services and software products. At Applied Materials, we apply nano-manfacturing technology to improve the way people live. To support customers around the world, Applied Materials employs approximately 14,000 people in over 65 locations throughout China; Europe; India; Israel; Malaysia and Singapore; Japan; Korea; Taiwan; and the United States.","US, SantaClara, California","10,000 employees or more",1967.0,Manufacturing - Other,http://www.appliedmaterials.com/
80,80,Data Scientist- AI and Statistical Analysis,"Our research focused firm works on some of the largest issues issues facing the US and the globe. Our main areas of focus are health, international development, education, workforce development and social programs. Our teams are comprised of the brightest minds of recent graduates and seasoned PhDs. We have a newly formed Data Science and AI team and are looking for a seasoned Data Scientist to join the team.
This candidate will have 5+ years experience in working with Data Science (Python, TensorFlow, Keras etc....) and a PhD with research and publications to demonstrate your knowledge and career focus. We like to find the best path for you based on our active projects and your expertise!
Top Reasons to Work with Us
1. Collaborative Team of PhD's and Scientists
2. Top DC Projects

3. Awesome team
What You Will Be Doing
You will be working specifically on the Data Science and AI team to collaborate with mathematicians, scientists and engineers to come up with solutions to challenges within health, education and international development.
What You Need for this Position
- Keras
- Tensorflow

- Statistical Analysis

- Data Science

- Deep Learning

- AI

- Python

- Statistical Algorithms

- Backgrounds in Physics are a HUGE plus
So, if you are a Data Scientist- AI and Statistical Analysis with experience, please apply today!",217263511,"Columbia, MD 21044",CyberCoders,"CyberCoders, a division of On Assignment, is a leading permanent placement recruiting firm. Through our innovative technology and efficient recruiters, CyberCoders helps find the right candidate fast.
Founded in 1999, CyberCoders is built on a success oriented culture. Above all – we know both candidates and clients want quality and they want it now. No other recruiting firm can offer Cyrus, our proprietary technology built to search smarter and quicker, matching the best applicant to the right job.","US, Irvine, California",100 to 499 employees,1999.0,Staffing/Employment Agencies,http://www.cybercoders.com
81,81,Lead Data Scientist,"About CenturyLink

CenturyLink (NYSE: CTL) is the second largest U.S. communications provider to global enterprise customers. With customers in more than 60 countries and an intense focus on the customer experience, CenturyLink strives to be the world’s best networking company by solving customers’ increased demand for reliable and secure connections. The company also serves as its customers’ trusted partner, helping them manage increased network and IT complexity and providing managed network and cyber security solutions that help protect their business.
 Job Summary
A Lead Data Scientist develops tools to collect, clean, analyze and manage the data used by strategic areas of the business. Employs techniques and theories drawn from mathematics, statistics, from the subdomains of machine learning, classification, cluster analysis, and data mining.
 Job Description
Clearly communicates methods and conclusions with simple language and innovative visualizations to management and executives.
Works effectively on a team as well as a self-driven individual to do research and develop cutting edge and effective solutions for the business.
Provides expertise in analyzing and visualizing large, complex, and unique data sets.
Creates new insights that will drive business growth and profitability in the short and long term.
Deploys analytics code with a continuous integration environment incorporating version control, build servers, and test servers.
Designs and implements programs and automation to collect, mash up, process and analyze distributed real-world data.
Collaborates with cross-functional teams to understand complex business problems, build statistical models, and create predictive tools.
Manages analytical projects and assists in program planning as well as the acquisition, retention and development of data science talent.
Qualifications
8+ years related experience.
Degree(s) in Computer Science, Math, Physics, Economics, Operations Research, Statistics or related discipline.
Experience with relational and non-relational databases.
Strong experience with tools for managing, analyzing, and visualizing large datasets.
Programming experience with two or more of R, Python, Lisp, Clojure, Scala, Java, Perl, Mathematica and C++.
Past success in extracurricular math/science activities or competitions is highly regarded.
Creativity and persistence in locating, extracting and analyzing all relevant data.
Problem solving versatility: making the best decisions possible given the data quality and time available.
Strong analytical thinking and ability to quickly pick up new methods, tools and programming languages.
Preferred:
Expertise with GIT, agile project management tools (Trello, JIRA, Rally, etc), documentation/markup expertise (Markdown, etc)
Strong verbal, written and visualization communication skills relaying data science findings, problems, etc. to business users.
Good working knowledge of PL/T-SQL.
Expertise with econometric and machine learning methods for predictive analytics.
Prior expertise with price elasticity of demand modeling and mathematical optimization methods.
Culture of curiosity and perseverance in the face of messy data and complex business, information systems landscape.
Significant experience with the SDLC, in particular as applied to automation of data science pipelines and development of analytic products.
Prior experience coaching less tenured technical team members.
Strong background with planning and management of data science projects as well as leading engagement of stakeholders and communication with non-technical SMEs and partners.
Experience with the wireline telecommunications industry, notably common product technologies and marketing thereof.
Education
Masters or Equivalent
Doctorate or Equivalent
Alternate Location: US-Arizona-Phoenix; US-Colorado-Broomfield; US-Colorado-Littleton; US-Florida-Apopka; US-Louisiana-Monroe; US-Oklahoma-Tulsa; US-Texas-Frisco
Requisition #: 218291
This job may require successful completion of an online assessment. A brief description of the assessments can be viewed on our website at http://find.centurylink.jobs/testguides/ 
EEO Statement
We are committed to providing equal employment opportunities to all persons regardless of race, color, ancestry, citizenship, national origin, religion, veteran status, disability, genetic characteristic or information, age, gender, sexual orientation, gender identity, marital status, family status, pregnancy, or other legally protected status (collectively, “protected statuses”).  We do not tolerate unlawful discrimination in any employment decisions, including recruiting, hiring, compensation, promotion, benefits, discipline, termination, job assignments or training.
Disclaimer
The above job definition information has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications required of employees assigned to this job.  Job duties and responsibilities are subject to change based on changing business needs and conditions.",66dd6c61-5da4-4eb5-992a-2fbf2021a512,"BROOMFIELD, CO 80021",CenturyLink,"CenturyLink(NYSE:CTL) is a premier network solutions provider and trusted partner to our customers. As part of our recent acquisition of Level 3 Communications, our portfolio has expanded. More customers. More network. More locations. More opportunities for you. With a global presence in 60 countries, service to more than 350 metro areas domestically, and more than 450,000 miles of fiber; CenturyLink is going places.
“Don’t see anything of interest here?  Head over to www.centurylink.com/careeropportunities where you can join our Talent Community and set up a job search.  You’ll receive exclusive information about our latest career opportunities along with news on how CenturyLink is shaping the world of technology.”",Monroe,"10,000 employees or more",1930.0,Computer/IT Services,http://www.centurylink.com/
82,82,Systems Administrator,"Position & Compensation package
Full-time System Administrator position for Dilanti Media in our Malta or Curacao office. Relocation package available. Salary 35K to 45K USD depending on experience.
Job Description
You will be responsible for the setup, maintenance and optimization of our technical infrastructure. You will be the point of contact for our technical service providers and internally for all technical infrastructure matters.
In a fun and stimulating environment you will be working together with experienced developers and other staff members that love automation and innovation.
Duties & Responsibilities
Ownership of all all things servers which translates into setup, maintain, secure and support/troubleshooting linux servers (Ubuntu & CentOs). Be the point of contact for our hosting partners and internally for all things servers.
Install and administrate 3rd party software on servers.
Manage domains and their DNS records.
Setup, manage, secure inhouse nameservers.
Continuous monitoring of servers, websites and services to facilitate 24/7-365 operation.
Essential Skills
Deep knowledge & highly experienced with Ubuntu, CentOS, LAMP and LEMP.
Excellent bash scripting knowledge for linux.
Experience with automation technologies to facilitate working smart when it comes to deployments, testing, backups and so on.
Deep knowledge of apache/nginx/sql.
Deep knowledge of cloud hosting and cloud computing.
Experience with bitbucket, github, trello/jira/confluence.
Experience with CMS installations for example WordPress.
Experience with CDN (Content Delivery Networks).
Experience with anonymous proxies such as SquidProxies.
Experience with Docker.
Experience with REDIS.
Competencies
Can do attitude.
Problemsolver.
Be able to work under pressure and without supervision.
About Dilanti Media
Dilanti Media was founded in January 2018 by industry veterans Johan Styren former CEO at LeoVegas & Valentin Alsen former head of SEO @ Catena Media.
The company develop and operate affiliate marketing properties in several industries such as the online gambling, forex and crypto industry. Main office is located in Malta with subsidiary in Curacao (Dutch Caribbean) and employees and consultants in other oversees locations.
What really differentiates Dilanti Media from our competitors is our innovative technology and data driven approach to online marketing. By developing a technical platform that automates mundane tasks, consolidate self gathered and 3rd party data into actionable tasks for our system and workforce or for informed business decisions we have been able to develop quality websites at scale.",205662475,Willemstad 0000CW,Dilanti Media Limited,,,,,,
83,83,Data Scientist - Leader,"Why a Great Opportunity
Blue Line Talent is looking for a leader in data science who will serve as a technical leader for data scientists focused on machine learning, predictive analytics and related projects. You will guide a team of data scientists, helping them identify the most impactful use cases, the most relevant models, best technologies for implementation, and clearest modes of communication for the application at hand. Join a growing technology-driven organization in the suburbs of Boston.
 Position Title: Data Science - Principal Scientist or Software Architect
 Location: Newton area, close to Mass. Pike
 Our client:
• Established local technology-driven company with impressive record of growth
• Comprehensive benefits including 401(k), medical, dental, vision, stock incentives, etc.
• Flexible schedules. Bring your dog.

Job Description
• Help leadership assess the business value and required investment of new AI projects
• Measure and communicate incremental value created by ML/AI approaches
• Create and maintain strategic roadmaps for AI projects: connecting the right algorithms, technologies, data sets, and skill sets to maximize likelihood of project success
• Propose architectural requirements for model deployment and maintenance in production
• Help develop data science training and competency development, determining best practices and work standards.
• Evaluate the latest ML technologies and techniques, and determine how to incorporate these into our strategy.

Qualifications
• MS degree in Computer Science, Physics, Math or related (PhD is preferred) 
• 10 years of professional experience devoted to data science
• SME/mentor level expertise in machine learning, deep learning, and ML modeling techniques
• Expertise in deep learning, methods
• Current/active hands-on Machine Learning coding skills.
• Experience with the development and deployment of ML and predictive models
• Commercial level coding skills in Python
• Modeling theory or expertise
• Experience with modern data science tools
• Experience collaborating with cross-functional teams
• Excellent verbal communication and business acumen
• Stable record of direct employment
 Helpful/Desired:
• PhD in Computer Science, Physics, Math or related
• Experience with Tensorflow, Keras, Spark, H2O, Scikit-Learn, etc.
• Healthcare experience preferred, but not required
• AWS experience preferred",5934232c-0b3e-4038-961c-9b5489320adc,"Newton, MA",NPAworldwide Recruitment Network,,,,,,
84,84,Data Scientist - Work in Raleigh,"YOUR ROLE Genworth Mortgage Insurance is looking for motivated and talented individuals with a background in data and analytics to work on insurance focused analytics problems. The Data Scientist will report to the Senior Manager of Data Science and provides analytical cross-functional support through effective use of predictive analytics and forecasting methods to improve operational visibility and efficiencies. This is a dynamic and challenging opportunity to apply the latest tools and methods in Big Data and Data Science to a variety of business problems.YOUR RESPONSIBILITIESResearch current processes and proactively identify emerging needs for analytic modelsDevelop supervised (regression and classification) and unsupervised (e.g. clustering and segmentation) models and dashboards (Tableau)Evolve and advance a customer behavioral segmentation model, building marketing, sales and product predicative models, analyzing results and movements of segments/clusters and providing business insights to grow the company’s market share and revenueDesign, create and implement advanced analytics and forecasting models to optimize business processes. Provide insights for decision making through the use of ML, traditional statistical modeling and BI.Perform monthly reporting of some key metrics as a part of advanced business intelligence support to functional areas (e.g. building Tableau dashboards or providing automated reports and decks)Partner with IT and Enterprise Data Management Organization (EDMO) teams on the evaluation of data assets and their proper useBecome a trusted analytical partner to the functional areas of support (Marketing, customer solutions, Underwriting, Loss Mitigation, Pricing) and collaborate on the development and planning of analytic projects in response to business needsDevelop and perform preliminary exploratory analysis on datasets associated with building advanced ML models. Ability to work with structured and unstructured data.YOUR QUALIFICATIONSBachelor’s degree required4+ years business analytics and business support functions experience4+ years of experience in one or more of the following statistical / analytic languages such as Python (Pandas, Scikit-Learn), Apache Spark (or PySpark), Hive, and Scala in a cloud computing environment4+ years of experience in one or more of the following: database query and management tools (SQL, Spark, Preseto/Athena/Hive / HQL etc.)Hands-on experience with advanced analytics like logistic regression, time series, forecasting, optimization, and other predictive modeling techniques. ML experience and knowledge of ML platforms, libraries and programming.Hands-on experience working with advanced BI tools, dashboard experience with visualization and automation tools, Tableau experience preferredAWS Certification or proven experience in a cloud computing environment such as, Databricks, Azure, Cloudera, Hortonworks, Google Cloud, Anaconda etc.Some experience with legacy analytics software such SAS or willingness to learn the basicsAbility to translate business needs into technical requirements and articulate analytic solution to get business buy-inAbility to influence decision makers and drive consensusADDITIONAL QUALIFICATIONSMaster’s or PhD in a quantitative research fieldExperience or background in customer focused fields including marketing, sales, customer research and product managementAbility to perform complex day-to-day ETL tasks such as data gathering, data cleaning, wrangling, coding or programming, business and analytics requirements gathering, and data analysisExperience with large analysis datasets and enterprise scale database systems (e.g. Large Hadoop, Redshift, Hive, SQL tables etc.)",ba1945e7-47a3-4979-aca3-8493dee9c66e,"Cary, NC 27518",Genworth,,,,,,
